tijd;Pwasmachine;Pfrigo;Pverwarming;Pbatterij;Vast Verbruik Slim huis (=Cat1);Netstroom slimme woning (W);Curtailment;Totale Kost;Ebatterij;Totaal verbruik Slim huis (W);Prijs elektriciteit (euro/kWh);Prijs elektriciteit (euro/W);Zonne-energie (W);Verbruik dom gn batterij (W);Netstroom domme woning (W);Kost per kwartier slimme woning;Kost per kwartier domme woning;tijd (u)
T1;0;0;0;3300;76;3376;0;7.931797255;24840000;3376;0.163933;4.09833E-05;0;110;3410;0.138359452;0.139752883;00.00
T2;0;0;0;3300;100;3400;0;;27810000;3400;0.163933;4.09833E-05;0;195;3495;0.13934305;0.143236459;
T3;0;200;0;3300;70;3570;0;;30780000;3570;0.163933;4.09833E-05;0;64;3364;0.146310203;0.137867653;
T4;0;0;0;3300;61;3361;0;;33750000;3361;0.163933;4.09833E-05;0;343;3643;0.137744703;0.14930198;
T5;0;0;0;3300;61;3361;0;;36720000;3361;0.130745;3.26863E-05;0;235;3535;0.109858486;0.115545894;01.00
T6;0;0;0;3300;61;3361;0;;39690000;3361;0.130745;3.26863E-05;0;64;3364;0.109858486;0.109956545;
T7;0;0;0;3300;61;3361;0;;42660000;3361;0.130745;3.26863E-05;0;162;3462;0.109858486;0.113159798;
T8;0;0;0;3300;61;3361;0;;45630000;3361;0.130745;3.26863E-05;0;317;2917;0.109858486;0.095345791;
T9;0;0;0;3300;61;3361;0;;48600000;3361;0.113965;2.84913E-05;0;221;221;0.095759091;0.006296566;02.00
T10;0;0;0;3300;61;3361;0;;51570000;3361;0.113965;2.84913E-05;0;238;238;0.095759091;0.006780918;
T11;0;0;0;3300;61;3361;0;;54540000;3361;0.113965;2.84913E-05;0;226;226;0.095759091;0.006439023;
T12;0;0;0;3300;61;3361;0;;57510000;3361;0.113965;2.84913E-05;0;257;257;0.095759091;0.007322251;
T13;0;0;0;3300;61;3361;0;;60480000;3361;0.107793;2.69483E-05;0;290;290;0.090573068;0.007814993;03.00
T14;0;0;0;3300;76;3376;0;;63450000;3376;0.107793;2.69483E-05;0;145;145;0.090977292;0.003907496;
T15;0;0;0;3300;108;3408;0;;66420000;3408;0.107793;2.69483E-05;0;228;228;0.091839636;0.006144201;
T16;0;0;0;3300;993;4293;0;;69390000;4293;0.107793;2.69483E-05;0;64;64;0.115688837;0.001724688;
T17;0;0;0;3300;863;4163;0;;72360000;4163;0.10472;0.00002618;0;221;221;0.10898734;0.00578578;04.00
T18;0;0;0;3300;61;3361;0;;75330000;3361;0.10472;0.00002618;0;287;287;0.08799098;0.00751366;
T19;0;0;0;3300;61;3361;0;;78300000;3361;0.10472;0.00002618;0;109;109;0.08799098;0.00285362;
T20;0;0;0;3300;61;3361;0;;81270000;3361;0.10472;0.00002618;0;240;240;0.08799098;0.0062832;
T21;0;0;0;3300;61;3361;0;;84240000;3361;0.125168;0.000031292;0;285;285;0.105172412;0.00891822;05.00
T22;0;0;0;3300;61;3361;0;;87210000;3361;0.125168;0.000031292;0;237;237;0.105172412;0.007416204;
T23;0;0;0;3300;61;3361;0;;90180000;3361;0.125168;0.000031292;0;251;251;0.105172412;0.007854292;
T24;0;200;0;3300;61;3561;0;;93150000;3561;0.125168;0.000031292;0;101;101;0.111430812;0.003160492;
T25;0;0;0;3300;61;3361;0;;96120000;3361;0.176474;4.41185E-05;0;64;64;0.148282279;0.002823584;06.00
T26;0;0;0;3300;61;3361;0;;99090000;3361;0.176474;4.41185E-05;0;287;287;0.148282279;0.01266201;
T27;0;0;0;3300;61;3361;0;;102060000;3361;0.176474;4.41185E-05;0;1175;1175;0.148282279;0.051839238;
T28;0;0;0;3300;61;3361;0;;105030000;3361;0.176474;4.41185E-05;0;2875;2875;0.148282279;0.126840688;
T29;0;0;0;0;61;61;0;;108000000;61;0.350519;8.76298E-05;0;209;209;0.005345415;0.018314618;07.00
